127.0.0.1 - - [22/Sep/2024:21:36:22 +0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:36:23 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:36:23 +0700] "GET /baitap24-9/login.css HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:36:23 +0700] "GET /favicon.ico HTTP/1.1" 404 1027
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:44:46 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:44:46 +0700] "GET /baitap24-9/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:44:48 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:44:49 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:44:49 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 932
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:57:46 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:57:46 +0700] "GET /baitap24-9/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:57:48 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [22/Sep/2024:21:58:21 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:01:21 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:01:21 +0700] "GET /baitap24-9/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:01:22 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:01:23 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:01:23 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 975
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:05:02 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:05:02 +0700] "GET /baitap24-9/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:05:03 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:05:04 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:05:17 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:05:34 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:05:50 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:06:08 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:08:01 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:08:01 +0700] "GET /baitap24-9/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:08:09 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:12:53 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:12:53 +0700] "GET /baitap24-9/login.css HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:12:53 +0700] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:13:07 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:15:09 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:15:12 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21T1020693&password=210919022003 HTTP/1.1" 200 998
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:15:14 +0700] "GET /baitap24-9/LoginHusc.jsp?username=1&password=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:15:15 +0700] "GET /baitap24-9/home.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:15:24 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:15:27 +0700] "GET /baitap24-9/LoginHusc.jsp?username=1&password=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:15:27 +0700] "GET /baitap24-9/home.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:15:48 +0700] "GET /baitap24-9/LoginHusc.jsp HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:16:00 +0700] "GET /baitap24-9/LoginHusc.jsp?username=21t1020693&password=123 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:16:00 +0700] "GET /baitap24-9/home.jsp HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:17:23 +0700] "GET /baitap17-9/CuuChuong.jsp HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:19:00 +0700] "GET /baitap17-9/CuuChuong.jsp HTTP/1.1" 200 5754
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:19:53 +0700] "GET /baitap24-9/BangCuuChuong.jsp HTTP/1.1" 200 5387
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:26:17 +0700] "GET /baitap24-9/BangCuuChuong.jsp HTTP/1.1" 500 2851
0:0:0:0:0:0:0:1 - - [22/Sep/2024:22:26:57 +0700] "GET /baitap24-9/BangCuuChuong.jsp HTTP/1.1" 500 2851
